date	Portfolio	ccy-1	ccy-2
14/11/2019	FXTEST	1.1684427	0.886564121
13/11/2019	FXTEST	1.165976797	0.884329678
12/11/2019	FXTEST	1.16603118	0.883470271
11/11/2019	FXTEST	1.166901992	0.87753938
08/11/2019	FXTEST	1.160725686	0.877658927
07/11/2019	FXTEST	1.160712213	0.876270592
06/11/2019	FXTEST	1.162466288	0.877654906
05/11/2019	FXTEST	1.162020521	0.876693114
04/11/2019	FXTEST	1.158050769	0.881600987
01/11/2019	FXTEST	1.159084323	0.881911985
31/10/2019	FXTEST	1.160995205	0.885700368
30/10/2019	FXTEST	1.156992283	0.886839305
29/10/2019	FXTEST	1.160671797	0.878271562
28/10/2019	FXTEST	1.159164938	0.879816998
25/10/2019	FXTEST	1.157420803	0.881290209
24/10/2019	FXTEST	1.157126161	0.880902044
23/10/2019	FXTEST	1.158761979	0.88163985
22/10/2019	FXTEST	1.15928588	0.878464444
21/10/2019	FXTEST	1.164903779	0.87788605
18/10/2019	FXTEST	1.157889862	0.879198171
17/10/2019	FXTEST	1.155081202	0.883197174
16/10/2019	FXTEST	1.158426394	0.879700902
15/10/2019	FXTEST	1.157836236	0.881329044
14/10/2019	FXTEST	1.141630705	0.885151582
11/10/2019	FXTEST	1.148791471	0.88210647
10/10/2019	FXTEST	1.115299681	0.879971841
09/10/2019	FXTEST	1.112743134	0.875465091
08/10/2019	FXTEST	1.114876918	0.876001927
07/10/2019	FXTEST	1.12083749	0.876270592
04/10/2019	FXTEST	1.119870991	0.876193814
03/10/2019	FXTEST	1.129318231	0.876616261
02/10/2019	FXTEST	1.124062813	0.876923751
01/10/2019	FXTEST	1.119733056	0.874431619
30/09/2019	FXTEST	1.128935752	0.873667657
27/09/2019	FXTEST	1.124492573	0.880824452
26/09/2019	FXTEST	1.12731946	0.877654906
25/09/2019	FXTEST	1.129496809	0.876424189
24/09/2019	FXTEST	1.130867236	0.872600349
23/09/2019	FXTEST	1.133758437	0.873896705
20/09/2019	FXTEST	1.135151089	0.868809731
19/09/2019	FXTEST	1.129484052	0.867829558
18/09/2019	FXTEST	1.128579006	0.871269876
17/09/2019	FXTEST	1.129905201	0.872105699
16/09/2019	FXTEST	1.129292724	0.874087671
13/09/2019	FXTEST	1.124151266	0.87753938
12/09/2019	FXTEST	1.123458883	0.878734622
11/09/2019	FXTEST	1.122258883	0.87966221
10/09/2019	FXTEST	1.118918677	0.879894413
09/09/2019	FXTEST	1.116220922	0.88051422
06/09/2019	FXTEST	1.11477749	0.878811846
05/09/2019	FXTEST	1.116245842	0.880630531
04/09/2019	FXTEST	1.105534305	0.877308418
03/09/2019	FXTEST	1.103046615	0.874469853
02/09/2019	FXTEST	1.099601944	0.87507623
30/08/2019	FXTEST	1.103022281	0.875273523
29/08/2019	FXTEST	1.10282765	0.87001914
28/08/2019	FXTEST	1.103387399	0.871991629
27/08/2019	FXTEST	1.010123245	0.874928912
26/08/2019	FXTEST	1.099747058	0.876501008
23/08/2019	FXTEST	1.104899123	0.878889084
22/08/2019	FXTEST	1.105546527	0.880630531
21/08/2019	FXTEST	1.093469798	0.882768362
20/08/2019	FXTEST	1.094235567	0.886839305
19/08/2019	FXTEST	1.093637219	0.884955752
16/08/2019	FXTEST	1.093744873	0.886014265
15/08/2019	FXTEST	1.090655266	0.886839305
14/08/2019	FXTEST	1.082508822	0.887941751
13/08/2019	FXTEST	1.078865034	0.884564352
12/08/2019	FXTEST	1.077156737	0.882339966
09/08/2019	FXTEST	1.07820199	0.881057269
08/08/2019	FXTEST	1.083247576	0.881290209
07/08/2019	FXTEST	1.083505791	0.881911985
06/08/2019	FXTEST	1.087961704	0.881367883
05/08/2019	FXTEST	1.085422772	0.88028169
02/08/2019	FXTEST	1.091381361	0.878618811
01/08/2019	FXTEST	1.098490674	0.876232202
31/07/2019	FXTEST	1.096234287	0.878194432
30/07/2019	FXTEST	1.090905124	0.883119177
29/07/2019	FXTEST	1.098719991	0.884603476
26/07/2019	FXTEST	1.113337787	0.883587365
25/07/2019	FXTEST	1.119670369	0.890194507
24/07/2019	FXTEST	1.121642084	0.890234132
23/07/2019	FXTEST	1.11564808	0.890947969
22/07/2019	FXTEST	1.113647753	0.88691796
19/07/2019	FXTEST	1.114243373	0.884173298
18/07/2019	FXTEST	1.112978442	0.884642604
17/07/2019	FXTEST	1.107162232	0.883002208
16/07/2019	FXTEST	1.106304831	0.882028666
15/07/2019	FXTEST	1.111296327	0.881406725
12/07/2019	FXTEST	1.116196004	0.880902044
11/07/2019	FXTEST	1.114293037	0.88028169
10/07/2019	FXTEST	1.1105805	0.886367665
09/07/2019	FXTEST	1.112433671	0.883197174
08/07/2019	FXTEST	1.115672974	0.886485528
05/07/2019	FXTEST	1.114504157	0.888967908
04/07/2019	FXTEST	1.114789918	0.88999644
03/07/2019	FXTEST	1.113635351	0.890323
02/07/2019	FXTEST	1.115038525	0.891067053
01/07/2019	FXTEST	1.117006423	0.893535272
28/06/2019	FXTEST	1.114050958	0.890511599
27/06/2019	FXTEST	1.115050958	0.891583452
26/06/2019	FXTEST	1.114541422	0.89098766
25/06/2019	FXTEST	1.117355889	0.887981175
24/06/2019	FXTEST	1.117218573	0.88711466
21/06/2019	FXTEST	1.121453404	0.888809884
20/06/2019	FXTEST	1.124985938	0.88711466
19/06/2019	FXTEST	1.126164172	0.883821645
18/06/2019	FXTEST	1.120925436	0.884407889
17/06/2019	FXTEST	1.118480656	0.884955752
14/06/2019	FXTEST	1.123204277	0.884760009
13/06/2019	FXTEST	1.125365744	0.889363216
12/06/2019	FXTEST	1.124163903	0.889086464
11/06/2019	FXTEST	1.124075448	0.888533475
10/06/2019	FXTEST	1.121239643	0.892299456
07/06/2019	FXTEST	1.125163149	0.892538379
06/06/2019	FXTEST	1.127116161	0.8942312
05/06/2019	FXTEST	1.130467222	0.89512332
04/06/2019	FXTEST	1.12847712	0.89561596
03/06/2019	FXTEST	1.127471982	0.8952134
31/05/2019	FXTEST	1.1281843	0.889600569
30/05/2019	FXTEST	1.131528922	0.894134478
29/05/2019	FXTEST	1.133542661	0.893894699
28/05/2019	FXTEST	1.134404211	0.893255918
27/05/2019	FXTEST	1.132964742	0.893854749
24/05/2019	FXTEST	1.132618274	0.892538379
23/05/2019	FXTEST	1.135976372	0.89047195
22/05/2019	FXTEST	1.134803282	0.889263216
21/05/2019	FXTEST	1.14310536	0.889363216
20/05/2019	FXTEST	1.140706097	0.891901534
17/05/2019	FXTEST	1.14087528	0.892259648
16/05/2019	FXTEST	1.144348065	0.89465444
15/05/2019	FXTEST	1.147802532	0.896137647
14/05/2019	FXTEST	1.152113552	0.89561596
13/05/2019	FXTEST	1.154921119	0.894374385
10/05/2019	FXTEST	1.158842548	0.896619744
09/05/2019	FXTEST	1.159393405	0.896901206
08/05/2019	FXTEST	1.160294715	0.892458724
07/05/2019	FXTEST	1.16638479	0.893575194
06/05/2019	FXTEST	1.169590643	0.894854586
03/05/2019	FXTEST	1.172525385	0.897504936
02/05/2019	FXTEST	1.165324601	0.898714838
01/05/2019	FXTEST	1.163995297	0.897021887
30/04/2019	FXTEST	1.16132379	0.892618049
29/04/2019	FXTEST	1.157407407	0.89031339
26/04/2019	FXTEST	1.57284634	0.887862914
25/04/2019	FXTEST	1.568324628	0.886406949
24/04/2019	FXTEST	1.156590833	0.882067566
23/04/2019	FXTEST	1.154227937	0.883704489
22/04/2019	FXTEST	1.152963693	0.883743538
